Wall time,Step,Value
1673800709.7567863,1,22.75
1673800946.3509717,2,17.375
1673801183.181297,3,12.083333015441895
1673801418.067883,4,9.375
1673801653.100555,5,8.050000190734863
1673801890.7919097,6,8.375
1673802127.6477473,7,6.75
1673802364.1606054,8,6.6875
1673802600.7283223,9,5.111111164093018
1673802837.7120826,10,4.949999809265137
1673803076.349436,11,5.186046600341797
1673803315.0316772,12,4.553191661834717
1673803552.7739394,13,4.372549057006836
1673803789.228825,14,3.781818151473999
1673804026.1848896,15,3.3220338821411133
1673804264.1327214,16,3.142857074737549
1673804501.985035,17,3.074626922607422
1673804739.7321262,18,3.0985915660858154
1673804977.43033,19,2.626666784286499
1673805216.0380692,20,2.873417615890503
